力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00284,流体伝達要素設計,CTG102020000,業務スキル＞共通技術＞機械要素設計技術,SKILL_DEFAULT,0,通知しない,油空圧の管路・バルブ・それら動作、Oリング・シール等（ネイラ・コンプ・浴乾他）,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00285,変換要素設計,CTG102020000,業務スキル＞共通技術＞機械要素設計技術,SKILL_DEFAULT,0,通知しない,リンク・カム・クランク等,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 新技術推進部ースキル , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 3G1-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00087,モジュール設計（エアネイラ）,CTG103010100,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（エンジン部）,SKILL_DEFAULT,0,通知しない,"シリーズ展開を考えたモジュール設計を行うことができる
(例)HNｼﾘｰｽﾞでﾎﾞﾃﾞｰ統合で90と65を2つのｴﾝｼﾞﾝで機種展開する構想設計を新たに行える場合はﾚﾍﾞﾙ4、構想に合わせて展開機種HN-75の設計を行えるのがﾚﾍﾞﾙ3",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00088,作動/制御設計（エアネイラ）,CTG103010100,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（エンジン部）,SKILL_DEFAULT,0,通知しない,エネルギsimから各チャンバ比の設定、管路絞り、メータイン/アウトなどの理論式を用いて設計を行える,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00089,筐体設計（エアネイラ）,CTG103010100,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（エンジン部）,SKILL_DEFAULT,0,通知しない,"ハンドツールで重要な握り易さやバランスを考慮したグリップ形状、位置決めを行い、製造不良や型構造を考慮した設計を行える
(例)握り易さを考慮したｸﾞﾘｯﾌﾟ断面形状やｸﾞﾘｯﾌﾟ角度､ﾄﾘｶﾞとの距離や製品の重心位置を考慮したｸﾞﾘｯﾌﾟ位置",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00090,エンジン部安全設計（エアネイラ）,CTG103010100,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（エンジン部）,SKILL_DEFAULT,0,通知しない,耐圧容器の耐水圧、疲労の基準を満たす設計を行うことができ、さらに異常時にエア漏れとなりユーザーが気づくフェールセーフ設計を行える,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00091,送り作動設計（ネイラ共通）,CTG103010200,業務スキル＞ドメイン技術＞ネイラ＞ネイラ共通（送り部）,SKILL_DEFAULT,0,通知しない,仕様最大、最小釘に対し、公差上下限を加味した空打ち/2本打ち余裕量の設定を取ることができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00092,耐衝撃強度設計（ネイラ共通）,CTG103010200,業務スキル＞ドメイン技術＞ネイラ＞ネイラ共通（送り部）,SKILL_DEFAULT,0,通知しない,ピストン衝撃を緩衝するバンパやピストンストップの設計とその周辺部品の強度を考慮した軽量化設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00093,耐落下強度設計（ネイラ共通）,CTG103010200,業務スキル＞ドメイン技術＞ネイラ＞ネイラ共通（送り部）,SKILL_DEFAULT,0,通知しない,PACE基準(1m破損なし、2m危険でない破損)を満たすマガジン部、コンタクト部の設計を行える,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00094,バルブ設計（エアネイラ）,CTG103010300,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（サイン部）,SKILL_DEFAULT,0,通知しない,仕様や規格に対応して、DS、ST、連打、低反動、速射のトリガ/バルブ設計を行える,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00095,サイン部安全設計（エアネイラ）,CTG103010300,業務スキル＞ドメイン技術＞ネイラ＞エアネイラ（サイン部）,SKILL_DEFAULT,0,通知しない,寸法公差集積上の誤作動余裕量設定を取れる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00096,エアモータ設計（エアターボドライバ）,CTG103010400,業務スキル＞ドメイン技術＞ネイラ＞エアターボドライバ（エアモータ_回転伝達部）,SKILL_DEFAULT,0,通知しない,要求に応じた吸排気・ベーン設定/設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00097,エアモータ制御バルブ設計（エアターボドライバ）,CTG103010400,業務スキル＞ドメイン技術＞ネイラ＞エアターボドライバ（エアモータ_回転伝達部）,SKILL_DEFAULT,0,通知しない,要求性能に応じたエアバルブ設定/設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00098,回転伝達機構設計（エアターボドライバ）,CTG103010400,業務スキル＞ドメイン技術＞ネイラ＞エアターボドライバ（エアモータ_回転伝達部）,SKILL_DEFAULT,0,通知しない,打込から締込完了までの挙動を理解した上で打込力のロスを抑えた回転伝達機構の設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00099,2段コンタクトストローク機構設計（エアターボドライバ）,CTG103010500,業務スキル＞ドメイン技術＞ネイラ＞エアターボドライバ（コンタクトアーム部）,SKILL_DEFAULT,0,通知しない,機構を理解し、安全性・サイン部との関連性を考慮した設定/設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00100,エネルギ蓄積・出力設計（充電ネイラ メカ）,CTG103010600,業務スキル＞ドメイン技術＞ネイラ＞充電ネイラ,SKILL_DEFAULT,0,通知しない,要求を満たすエネルギ出力のばねとその蓄積構造設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00101,ギヤ最適化設計（充電ネイラ メカ・ソフト）,CTG103010600,業務スキル＞ドメイン技術＞ネイラ＞充電ネイラ,SKILL_DEFAULT,0,通知しない,コスト、重量、要求仕様を満たす減速部設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00102,安全配線設計（充電ネイラ メカ・ハード）,CTG103010600,業務スキル＞ドメイン技術＞ネイラ＞充電ネイラ,SKILL_DEFAULT,0,通知しない,組付性を考慮した安全配線設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00103,反動低減設計（充電ネイラ メカ）,CTG103010600,業務スキル＞ドメイン技術＞ネイラ＞充電ネイラ,SKILL_DEFAULT,0,通知しない,反動を低減する構造設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00104,防塵・防水設計（充電ネイラ メカ・ハード）,CTG103010600,業務スキル＞ドメイン技術＞ネイラ＞充電ネイラ,SKILL_DEFAULT,0,通知しない,防塵・防水を加味した設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00105,ピストンリターン設計（ガスネイラ メカ）,CTG103010700,業務スキル＞ドメイン技術＞ネイラ＞ガスネイラ,SKILL_DEFAULT,0,通知しない,負圧リターン設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00106,燃焼技術（ガスネイラ メカ）,CTG103010700,業務スキル＞ドメイン技術＞ネイラ＞ガスネイラ,SKILL_DEFAULT,0,通知しない,燃料噴射、着火、燃焼、吸排気設定,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00107,耐熱設計（ガスネイラ メカ）,CTG103010700,業務スキル＞ドメイン技術＞ネイラ＞ガスネイラ,SKILL_DEFAULT,0,通知しない,ガス缶レイアウト設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00108,耐衝撃設計（充電・ガスネイラ メカ・ハード）,CTG103010800,業務スキル＞ドメイン技術＞ネイラ＞ネイラ共通（電装部）,SKILL_DEFAULT,0,通知しない,電装部品の耐衝撃を考慮したレイアウト、緩衝設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 1SEC-スキル・知識 , 3SEC-スキル・知識 , 2SEC-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00109,エア圧縮技術（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,要求に応じた圧縮部の設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00110,高圧エア貯留技術（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,仕向け地の安全規格を理解し、コンプレッサのタンクユニットの設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00111,低騒音/低振動技術（エアコンプレッサ メカ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,低騒音/低振動設計、及び発生部位の特定/対策設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00112,エア調圧（減圧）技術（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,減圧弁の設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00113,安全設計（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,安全規格、機工品商品試験基準(PACE)に適合する設計/検証ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00114,高電圧電源回路設計（昇圧回路）（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,1500W相当の昇圧回路を設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00115,高出力モータ設計（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,圧縮変動負荷に適した1500W相当のﾓｰﾀ設計ができる。（使用ツール：JMAG、MATLAB）,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00116,放熱設計（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,部品や素子の発熱計算を基に定格温度以下とする、且つ圧縮機温度(耐久性)を考慮した放熱/冷却構造設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00117,静音・低振動設計（エアコンプレッサ ハードソフト）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,音・振動設計、ﾒｶ・ｿﾌﾄとの協働設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00118,防塵・防水設計（エアコンプレッサ）,CTG103020100,業務スキル＞ドメイン技術＞エアコンプレッサ＞エアコンプレッサ共通,SKILL_DEFAULT,0,通知しない,防塵・防水を加味した設計ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00062,2次電池仕様・設計,CTG103030100,業務スキル＞ドメイン技術＞パワーツール＞パワーツール共通,SKILL_DEFAULT,0,通知しない,"製品要求に最適な形式（Liイオン、Ni-MHなど）を選択し、組電池や電池パックの仕様を構築できる。
安全機能を有した設計ができる。",,強調する,全メンバーに公開,"00_開発本部 , 第1設計G , 新技術推進部 , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"開発本部－スキル・知識 , 新技術推進部ースキル",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00119,耐衝撃設計（パワーツール）,CTG103030100,業務スキル＞ドメイン技術＞パワーツール＞パワーツール共通,SKILL_DEFAULT,0,通知しない,衝撃加速度に耐える設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00120,省電力設計（パワーツール）,CTG103030100,業務スキル＞ドメイン技術＞パワーツール＞パワーツール共通,SKILL_DEFAULT,0,通知しない,電池残量を考慮した設計,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 4SEC-スキル・知識 , 新技術推進部ースキル , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
